province,thaiName,totalArea,forestArea,forestPct,nonforestPct
 Lop Buri,ลพบุรี,"4,058,095.84","581,677.35",14.33,85.67
 Samut Prakan,สมุทรปราการ,"592,001.82","14,385.68",2.43,97.57
 Samut Songkhram,สมุทรสงคราม,"258,417.75","18,093.96",7.00,93.00
 Samut Sakhon,สมุทรสาคร,"541,531.14","24,030.92",4.44,95.56
 Saraburi,สระบุรี,"2,186,994.18","512,918.62",23.45,76.55
 Sing Buri,สิงห์บุรี,"510,716.51",238.30,0.05,99.95
 Suphan Buri,สุพรรณบุรี,"3,381,555.68","398,739.34",11.79,88.21
 Ang Thong,อ่างทอง,"593,996.89",ไม่มีพื้นที่ป่าไม้,,
 Chanthaburi,จันทบุรี,"4,009,602.07","1,303,023.54",32.50,67.50
 Cha Choeng Sao,ฉะเชิงเทรา,"3,230,873.49","493,965.99",15.29,84.71
 Chon Buri,ชลบุรี,"2,817,515.03","338,435.20",12.01,87.99
 Trat,ตราด,"1,791,577.83","563,618.79",31.46,68.54
 Nakhon Nayok,นครนายก,"1,338,502.89","400,635.92",29.93,70.07
 Prachin Buri,ปราจีนบุรี,"3,140,982.59","887,777.09",28.26,71.74
 Rayong,ระยอง,"2,291,003.80","182,276.53",7.96,92.04
 Sa Kaew,สระแก้ว,"4,269,328.74","922,046.10",21.60,78.40
 Krabi,กระบี่,"3,327,160.32","551,905.32",16.59,83.41
 Chumphon,ชุมพร,"3,748,782.77","804,298.87",21.45,78.55
 Trang,ตรัง,"2,953,504.44","673,000.44",22.79,77.21
 Nakhon Si Thammarat,นครศรีธรรมราช,"6,177,901.73","1,104,210.33",17.87,82.13
 Narathiwat,นราธิวาส,"2,807,081.61","741,535.37",26.42,73.58
 Pattani,ปัตตานี,"1,235,321.61","63,515.94",5.14,94.86
 Phang Nga,พังงา,"3,434,460.12","1,078,232.57",31.39,68.61
 Phatthalung,พัทลุง,"2,413,169.61","384,777.60",15.94,84.06
 Phuket,ภูเก็ต,"341,788.41","69,167.36",20.24,79.76
 Yala,ยะลา,"2,797,417.84","921,678.72",32.95,67.05
 Ranong,ระนอง,"2,018,415.58","1,073,461.82",53.18,46.82
 Song Khla,สงขลา,"4,838,147.99","534,565.78",11.05,88.95
 Satun,สตูล,"1,887,104.44","738,773.49",39.15,60.85
 Surat Thani,สุราษฎร์ธานี,"8,174,644.93","2,334,881.56",28.56,71.44
